"Total de Examen mi-semestre (EE) (Brut)","projet (CCTP) (Brut)","Note enseignant (Brut)","Outil externe Contrôle 1 PLaTon, jeudi 21 et vendredi 22 octobre (Brut)","Outil externe Contrôle 2 PLaTon, jeudi 9 - vendredi 10 décembre (Brut)","Total de Contrôles PLaTon (Brut)","Total de Note de TD (CCE) (Brut)","Total de Examen final (EEF) (Brut)","Total du cours (Brut)"
15.2,12,15,13.46,16.56,15.01,15,10,12.45
14.8,13.5,16,16.54,10.94,13.74,15.25,9.4,12.45
12.2,16,18,18.08,18.75,18.41,18.14,8.8,12.49
11.4,20,14,,17.5,0,9.33,10.6,12.49
10,20,13,18.46,13.44,15.95,13.98,9.8,12.52
14,19,17,14.23,16.25,15.24,16.41,7,12.56
9.6,20,20,20,12.81,16.41,18.8,8.4,12.58
13.4,,13,19.23,15.31,17.27,14.42,11.4,12.59
12.2,17,20,18.85,19.06,18.95,19.65,8,12.6
10.4,17,10,18.46,17.81,18.14,12.71,11.8,12.63
12,11,16,3.08,19.69,11.38,14.46,13.2,12.65
15.4,15,18,15.38,14.69,15.04,17.01,8.2,12.68
12.2,16,18,20,20,20,18.67,9.4,12.81
13.2,19,17,18.08,19.69,18.88,17.63,8,12.94
13.8,19,18,15,16.88,15.94,17.31,7.8,12.97
14,16,18,19.62,19.38,19.5,18.5,8.8,12.99
13.2,14,14,15.77,19.38,17.57,15.19,11.6,13.02
15.2,11,15,19.62,,19.62,16.54,11.4,13.04
11.4,16,16.5,19.23,17.19,18.21,17.07,11.2,13.09
11.4,17,20,18.08,,18.08,19.36,10,13.15
11.4,17,17,20,20,20,18,10.8,13.27
10.2,16,20,12.69,17.81,15.25,18.42,12,13.31
12.8,20,14,20,19.69,19.84,15.95,9.6,13.43
11,17,18,16.92,15.31,16.12,17.37,12.2,13.64
14,17,17,15.38,15.31,15.35,16.45,11,13.77
13.2,14.5,18,18.46,19.06,18.76,18.25,12.2,13.82
14.4,12,16,20,17.81,18.91,16.97,13.4,13.91
14.4,18,20,19.23,16.56,17.9,19.3,9.6,13.93
14.8,16,14,18.46,18.75,18.61,15.54,11.8,13.95
14.2,,10,20,20,20,13.33,14.2,14.04
14.8,16,12.5,18.08,18.75,18.41,14.47,12.6,14.11
12.8,16,14,18.46,20,19.23,15.74,13.4,14.12
13.8,15,16,16.15,14.38,15.26,15.75,13.6,14.25
16.6,10,16,15.77,17.5,16.63,16.21,14.4,14.34
15.4,20,14,17.69,19.69,18.69,15.56,10.4,14.34
15.4,17,16,20,18.13,19.06,17.02,11.4,14.36
12.2,17,12,19.23,20,19.62,14.54,14.4,14.39
15.4,17,20,18.46,17.5,17.98,19.33,10.6,14.39
15.2,20,20,20,20,20,20,9,14.4
15.8,11,16,19.23,19.38,19.3,17.1,14.2,14.4
14.8,19,18,18.46,20,19.23,18.41,10.6,14.5
17,14,19,19.62,16.88,18.25,18.75,11.6,14.5
14.2,15,18,16.15,19.06,17.61,17.87,13.2,14.51
13.8,20,6,17.69,19.38,18.53,10.18,14.2,14.66
10.2,19,18,7.69,18.13,12.91,16.3,,14.66
13.4,20,13,15.38,18.13,16.75,14.25,13.2,14.77
12.8,16,15,18.85,19.69,19.27,16.42,14.8,14.78
10.4,20,17,19.62,19.69,19.65,17.88,13.8,14.8
15.8,18,12,18.46,18.13,18.29,14.1,13,14.86
14.6,15,17.5,20,19.69,19.84,18.28,13.8,14.91
15.8,14,17.5,16.92,19.06,17.99,17.66,13.8,14.92
14.4,10,15,20,14.69,17.34,15.78,17.4,14.93
14,15,15,19.62,19.69,19.65,16.55,,14.97
15.6,17,18,20,19.69,19.84,18.61,12.4,15.05
15,18,20,12.69,16.88,14.78,18.26,12.6,15.13
18.4,14,14,16.92,18.13,17.52,15.17,13.8,15.2
13.2,20,18,20,20,20,18.67,12.8,15.22
14.8,17,17.5,20,18.13,19.06,18.02,13.6,15.24
13.6,12,12,19.23,18.13,18.68,14.23,18.6,15.37
15.6,11,16,13.08,18.44,15.76,15.92,17.2,15.37
16.6,18,17,19.23,20,19.62,17.87,12.8,15.55
17.8,16,12,18.85,19.69,19.27,14.42,14.4,15.57
13,18,20,18.85,19.06,18.95,19.65,14.6,15.64
11,17,20,16.92,20,18.46,19.49,16.6,15.71
17.8,7,16.5,18.85,17.81,18.33,17.11,18.4,15.78
14,17,15,18.08,20,19.04,16.35,16.4,15.91
17.2,15,16,,18.44,0,10.67,17.6,15.94
16.4,20,20,13.85,19.38,16.61,18.87,12.6,15.97
17.6,17,17,19.23,20,19.62,17.87,13.8,16
17.8,11,16,,20,0,10.67,19.4,16.01
18.6,11,8,19.23,,19.23,11.74,18.6,16.05
14,16,15,20,19.69,19.84,16.61,17.2,16.07
17.4,16,15,19.62,19.38,19.5,16.5,15.2,16.1
18.4,12,14,19.23,20,19.62,15.87,16.8,16.1
16.4,16,17.5,20,18.75,19.38,18.13,15.2,16.1
14,18,15,18.46,19.38,18.92,16.31,16.4,16.11
14.8,19,15,11.54,18.44,14.99,15,16,16.15
15.4,16,18,19.62,20,19.81,18.6,15.8,16.16
13.6,17,20,13.85,20,16.92,18.97,16.6,16.29
15,19,17,15.77,19.06,17.42,17.14,15.6,16.36
13.8,15,18,17.69,19.69,18.69,18.23,18,16.38
16.6,17.5,16,18.85,18.44,18.64,16.88,16,16.58
16.8,13,16,16.15,17.81,16.98,16.33,18.4,16.61
12.8,17,17,20,18.44,19.22,17.74,18.4,16.62
14,20,,20,20,20,20,15.4,16.66
15.6,17,16,18.46,16.56,17.51,16.5,17.2,16.66
12.4,20,18,19.62,20,19.81,18.6,17,16.69
17.2,17,16,20,19.06,19.53,17.18,16.2,16.76
13.6,20,20,19.62,20,19.81,19.94,16,16.79
17.8,17,17,19.23,19.69,19.46,17.82,15.8,16.84
15,20,17,20,20,20,18,16,16.85
16.4,18,20,20,19.69,19.84,19.95,15.4,16.85
14.6,18,17,18.85,19.06,18.95,17.65,17.4,16.86
15,17,16,19.62,20,19.81,17.27,18,16.94
17.8,18,8,20,19.38,19.69,11.9,17.8,16.95
17.8,17,15,19.23,16.25,17.74,15.91,16.8,16.96
16.8,20,20,18.46,15.94,17.2,19.07,14.8,16.98
18.4,17,16,20,19.38,19.69,17.23,16.2,17.06
16.2,18,20,19.62,19.06,19.34,19.78,16.4,17.18
16.6,16,20,20,20,20,20,17.2,17.23
14.8,20,17.5,18.85,18.13,18.49,17.83,17.2,17.25
17.6,15,17,19.62,20,19.81,17.94,18,17.29
16.8,17,18,18.08,20,19.04,18.35,17.4,17.31
18.8,12,18,19.23,20,19.62,18.54,18.6,17.32
18.6,12,,20,20,20,20,18.2,17.33
18.6,18,18,20,18.75,19.38,18.46,15.8,17.34
17.8,18,16,18.08,19.38,18.73,16.91,17,17.39
17.8,17.5,17,19.62,20,19.81,17.94,17,17.44
18.2,14,18,20,18.44,19.22,18.41,18.4,17.47
18,19,16,18.46,19.06,18.76,16.92,16.8,17.56
17,16,18,17.69,18.13,17.91,17.97,18.6,17.59
18.6,18,20,19.23,20,19.62,19.87,16,17.63
17.6,20,18,17.69,17.19,17.44,17.81,16.4,17.63
19,18,18,,18.75,0,12,18.8,17.67
19.2,13,18,19.23,19.06,19.15,18.38,18.8,17.68
